,team_id,team_name
264,285258,PARIVISION
265,285256,Team Vitality
266,284742,Team Spirit
267,284740,Team Vitality
268,284736,FURIA Esports
269,284738,Team Falcons
270,284822,BetBoom Team
271,284820,9INE
272,284818,HOTU
273,284814,9INE
274,284816,Ursa
275,284812,Gentle Mates
276,284810,EYEBALLERS
277,284798,9INE
278,284800,BetBoom Team
279,284802,EYEBALLERS
280,284804,KOLESIE
281,284806,Gentle Mates
282,284808,BIG Academy
283,284788,Team Nemesis
284,284786,GenOne
285,284796,EYEBALLERS
286,284790,BIG Academy
287,284792,HOTU
288,284794,BetBoom Team
289,284782,FUT Esports
290,284784,Sangal Esports
291,284778,EYEBALLERS
292,284776,KOLESIE
293,284774,BetBoom Team
294,284780,Ursa
295,284766,FUT Esports
296,284768,9INE
297,284770,HOTU
298,284772,Nuclear TigeRES
299,284272,FURIA Esports
300,284270,EYEBALLERS
301,284268,Inner Circle
302,284266,PARIVISION
303,284264,Monte
304,284262,GamerLegion
305,284260,Gentle Mates
306,284258,paiN Gaming
307,283610,FURIA Esports
308,283630,paiN Gaming
309,283618,Team Spirit
310,283634,PARIVISION
311,283612,Team Falcons
312,283620,Team Liquid
313,283628,Team 3DMAX
314,283636,Gentle Mates
315,283614,Team Vitality
316,283622,Natus Vincere
317,283626,Heroic
318,283638,GamerLegion
319,283616,Aurora Gaming
320,283624,Astralis
321,283632,FaZe Clan
322,283640,FUT Esports
323,284592,Team Nemesis
324,284598,KOLESIE
325,284596,BIG Academy
326,284594,ENCE
327,284590,Ursa
328,284576,KOLESIE
329,284580,BIG Academy
330,284582,QWENTRY
331,284578,BULGARIAPEEK
332,284584,ENCE
333,284586,Virtus.pro
334,284588,Team Nemesis
335,281078,Team Vitality
336,283288,Team VACO
337,282882,Natus Vincere
338,282880,Team Spirit
339,282876,FURIA Esports
340,282878,MOUZ
341,282874,Team Vitality
342,282872,Team Spirit
343,282812,G2 Esports
344,282810,FaZe Clan
345,282808,B8 Esports
346,282778,G2 Esports
347,282780,Team 3DMAX
348,282776,Passion UA
349,282774,MOUZ
350,282770,Natus Vincere
351,282772,B8 Esports
352,282764,FURIA Esports
353,282766,Team 3DMAX
354,282760,MOUZ
355,282762,Passion UA
356,282756,paiN Gaming
357,282758,Imperial Esports
358,282754,Team Vitality
359,282752,FaZe Clan
360,282678,PARIVISION
361,282676,FURIA Esports
362,282674,Team Liquid
363,282672,MOUZ
364,282668,FaZe Clan
365,282670,Passion UA
366,282666,Team 3DMAX
367,282664,paiN Gaming
368,282662,FURIA Esports
369,282660,B8 Esports
370,282658,Team Vitality
371,282656,paiN Gaming
372,282654,Passion UA
373,282652,Team Spirit
374,282650,Imperial Esports
375,282648,MOUZ
376,282474,Ninjas in Pyjamas
377,282472,Team Liquid
378,282470,Passion UA
379,282462,B8 Esports
380,282468,Team Liquid
381,282460,Imperial Esports
382,282466,Aurora Gaming
383,282458,PARIVISION
384,282464,Fnatic
385,282446,Natus Vincere
386,282444,MIBR
387,282448,FlyQuest
388,282442,FaZe Clan
389,282440,Fnatic
390,282438,PARIVISION
391,282436,TYLOO
392,282434,Passion UA
393,282420,Team Liquid
394,282416,B8 Esports
395,282422,MIBR
396,282410,Aurora Gaming
397,282424,Astralis
398,282412,Natus Vincere
399,282418,Team 3DMAX
400,282414,TYLOO
401,282234,MIBR
402,282226,Team Liquid
403,282224,Natus Vincere
404,282222,Aurora Gaming
405,282236,Passion UA
406,282232,TYLOO
407,282230,Astralis
408,282228,Team 3DMAX
409,282180,PARIVISION
410,282178,NRG Esports
411,282176,Fluxo
412,282160,PARIVISION
413,282156,Imperial Esports
414,282152,NRG Esports
415,282158,RED Canids
416,282150,Fluxo
417,282154,B8 Esports
418,282146,The Huns Esports
419,282148,M80
420,282144,FlyQuest
421,282142,GamerLegion
422,282138,Fnatic
423,282140,FaZe Clan
424,282134,Legacy
425,282136,B8 Esports
426,281800,FaZe Clan
427,281804,Fnatic
428,281806,Ninjas in Pyjamas
429,281802,GamerLegion
430,281796,PARIVISION
431,281798,B8 Esports
432,281792,Imperial Esports
433,281794,Legacy
434,281146,Fnatic
435,281140,FaZe Clan
436,281144,GamerLegion
437,281150,Ninjas in Pyjamas
438,281148,PARIVISION
439,281138,Legacy
440,281152,Imperial Esports
441,281142,B8 Esports
442,281480,FURIA Esports
443,281478,Team Falcons
444,281476,FURIA Esports
445,281474,Team Vitality
446,281472,Passion UA
447,281470,FURIA Esports
448,281468,paiN Gaming
449,281466,Passion UA
450,281464,The Mongolz
451,280636,Team Vitality
452,280634,FURIA Esports
453,280632,Team Spirit
454,280630,The Mongolz
455,281088,FURIA Esports
456,281090,MOUZ
457,281084,Team Falcons
458,281086,MOUZ
459,281080,FURIA Esports
460,281082,Astralis
461,280954,Team Spirit
462,280948,Astralis
463,280970,Team Vitality
464,280968,FURIA Esports
465,280952,The Mongolz
466,280950,Team Spirit
467,280962,Team Vitality
468,280964,G2 Esports
469,280940,Team Falcons
470,280942,TYLOO
471,280944,The Mongolz
472,280946,Heroic
473,280966,MOUZ
474,280960,FaZe Clan
475,280956,FURIA Esports
476,280958,Lynn Vision Gaming
477,280556,paiN Gaming
478,280554,Astralis
479,280564,G2 Esports
480,280552,The Mongolz
481,280560,MOUZ
482,280562,Team Vitality
483,280550,TYLOO
484,280558,FURIA Esports
485,280800,Aurora Gaming
486,280798,GamerLegion
487,280796,Legacy
488,280794,Aurora Gaming
489,280790,paiN Gaming
490,280792,SAW
491,280786,B8 Esports
492,280788,GamerLegion
493,280706,Aurora Gaming
494,280704,Legacy
