player_id,player_name
26432,tENZY
16114,kashl1d
6574,"Dwushka (Aleksandr  Pakhnevich), RU"
8188,Djon8
27,"rain (Håvard Nygaard), NO"
3059,"deko ( Denis  Zhukov), RU"
493,"n0rb3r7 (David  Danielyan), RU"
413,"hAdji (Ali  Haïnouss), FR"
1401,"B1T (Valeriy Vakhovskiy), UA"
2988,"BELCHONOKK (Andrey Yasinskiy), RU"
19,"apEX (Dan Madesclaire), FR"
157,"MAJ3R (Engin Küpeli), TR"
4710,"Donk (Danil Kryshkovets), RU"
26,"NiKo (Nikola Kovač), BA"
3020,"bLitz (Byambasuren Garidmagnai), MN"
625,"yuurih (Yuri Santos), BR"
2846,"max (Maximiliano Gonzalez), UY"
78,"NAF (Keith Markovic), CA"
4400,"Mercury (Jingxiang Wang), CN"
5502,"npl (Andrii Kukharskyi), UA"
3396,"r1nkle (Artem Moroz), UA"
31,"nitr0 (Nicholas Cannella), US"
3248,"Staehr (Victor Staehr), DK"
2126,"torzsi (Ádám Torzsás), HU"
997,"latto (Bruno Rebelatto), BR"
416,"huNter- (Nemanja Kovač), RS"
6360,"Krabeni (Aulon  Fazlija), XK"
690,"biguzera (Rodrigo Bittencourt), BR"
28,"karrigan (Finn Andersen), DK"
656,"Lucky (Lucas Chastang), FR"
3368,"nilo (Linus Bergman), SE"
690,
1850,"try (Santino Rigal), AR"
2805,"volt (Sebastian Malos), GB"
62,
7774,
436,"raalz (Rasmus Steensborg), DK"
436,
65,
6228,
2936,"s1ren (Pavel  Ogloblin), RU"
959,
1675,
49,
7774,"Flierax, UA"
607,"sdy (Viktor Orudjev), UA"
49,"twist (Simon Eliasson), SE"
4518,"spooke (Olle Grundström), SE"
65,"KRIMZ (Freddy Johansson), SE"
8083,
144,
1867,"SELLTER (Ivan Miroshnikov), RU"
959,"kinqie (Semyon Lisitsyn), RU"
8085,"senka (Arseniy Kozlovsky), BY"
44,"s1mple (Aleksandr Kostyliev), UA"
746,"oSee (Josh Ohm), US"
1958,
3248,
3246,"Tauson (Sebastian  Tauson Lindelof), DK"
1958,"Krimbo (Karim  Moussa), DE"
540,"Hallzerk (Hakon Fjaerli), NO"
1266,
5776,
8085,
4518,
26888,
1389,
3398,
6145,
5135,"mizu (Dmitry  Kondratev), RU"
2106,"torox (Ivan  Belkin), RU"
773,"alex (Alejandro Masanet), ES"
62,"JW (Jesper Wecksell), SE"
5509,"Flayy (Alan Krupa), PL"
8359,w1doww
6739,"Chuckyy, BE"
6143,"Danistzz (Danil Roslyakov), RU"
3596,"Gizmy (Jack  von Spreckelsen), GB"
1867,
5509,
8359,
607,
2106,
27474,
166,
572,"FL1T (Evgeny Lebedev), RU"
295,"chopper (Leonid Vishnyakov), RU"
627,
19,
28,
627,"VINI (Vinicius Figueiredo), BR"
216,"exit (Raphael Lacerda), BR"
272,"INS (Joshua Potter), AU"
11,"device (Nicolai Reedtz), DK"
11,
656,
82,"daps (Damian Steele), CA"
2225,"zevy (Romeu Rocco), BR"
5028,"venomzera (Carlos Eduardo), BR"
1912,"nin9 (Yesuntumur Gantulga), MN"
845,"Swisher (Michael Schmid), US"
1199,"ztr (Erik Gustafsson), SE"
1451,"LNZ (Linus Holtäng), SE"
35,"Twistzz (Russel Van Dulken), CA"
1271,"Westmelon (Niu Zhe), CN"
157,
3112,"story (João Vieira), PT"
1199,
997,
998,"Lucaozy (Lucas Neves), BR"
6470,"Chr1zN (Christoffer Storgaard), DK"
6307,"nifee (Dmitry Tediashvili), UA"
416,
2846,
26198,
3112,
3384,
2126,
1681,"Kristou (Kristoffer Aamand), DK"
26434,Kyousuke
16113,zweih
269,"AttackeR (Yuanzhang Sheng), CN"
772,"mopoz (Alejandro Fernández-Quejo Cano), ES"
1486,
4033,
3538,"1eeR (Aliaksandr  Nahorny), BY"
6470,
772,
8305,
1486,"Misutaaa (Kévin Rabier), FR"
26198,onic
1451,
3396,
6360,
3538,
1681,
2936,
78,
5502,
3696,"Kursy (Jeremy Gast), FR"
472,"Grim (Michael  Wince), US"
4042,"susp (Tim Ångström), SE"
2988,
1689,
994,
6252,
5507,
957,
961,
5436,
5499,
6143,
1003,"magixx (Boris Vorobiev), RU"
948,"hades (Aleksander Miskiewicz), PL"
41,"Magisk (Emil Reif), DK"
994,"F1KU (Maciej Miklas), PL"
1661,"SunPayus (Alvaro Garcia), ES"
34,"stanislaw (Peter Jarguz), CA"
3524,"controlez (Unudelger Baasanjargal), MN"
4400,
3524,
4351,"pr1metapz (Luca Voigt), DE"
4903,"Wicadia ( Ali Haydar Yalçın), TR"
26759,molodoy
2271,"naitte (João Maia), BR"
8,"TaZ (Wiktor Wojtas), PL"
4421,"sl3nd (Henrich Hevesi), HU"
272,
4033,"m1N1 (Hussein Hijazi), LB"
1271,
268,"Summer (Yulun Cai), CN"
7645,"deemO (Iago Henrique), BR"
1886,"freshie (Adam Paterson), CA"
877,"Noktse (Nicolás Dávila), AR"
4242,"dea (Deni Ediev), RU"
3768,"Gafolo (Victor Andrade), BR"
15,"gla1ve (Lukas Rossander), DK"
2276,"sk0R (Tengis Batjargal), MN"
1322,
262,
2191,"chop (Connor Sullivan), US"
877,
472,
961,"Krad (Vladislav Kravchenko), RU"
5490,"AZUWU (Oscar Bell), GB"
268,
4275,"Adamb (Adam Ångström), SE"
1322,"neuz (Uuganbayar Nyam-Otgon), MN"
4351,
1053,"BRACE (Toby  Barnes), AU"
1661,
476,"SHiPZ (Georgi Grigorov), BG"
2041,"m0NESY (Ilya Osipov), RU"
6715,"Jcobbb (Jakub Pietruszewski), PL"
4275,
6900,
5504,"notineki (Denis  Kalachev), UA"
264,"qikert (Alexey Golubev), KZ"
155,"paz (Ahmet Karahoca), TR"
608,"neaLaN (Sanzhar Ishkakov), KZ"
5504,
2050,
3289,"d1Ledez (Daniil Kustov), RU"
1420,"DemQQ (Sergiy Demchenko), UA"
66,"allu (Aleksi Jalli), FI"
3392,"Dragon (Nikola Boskovic), RS"
2852,"nbqq ( Vít Pohlot), CZ"
7929,"kAlash (Altair Askarov), KZ"
3400,
966,"nafany (Vladislav Gorshkov), RU"
20,"NBK- (Nathan Schmitt), FR"
1404,"Topa (Alexey Topchienko), UA"
3235,"bnox (Bartosz  Niebisz), PL"
3289,
2852,
